symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2023-02-23,23783.33,24009.42,23615.0,23918.37,569.757072902,8857.0,23812.666684
BTC/USD,2023-02-23,23915.87,24230.12,23839.71,24013.34,818.80798566,14433.0,24065.782342
BTC/USD,2023-02-23,24013.93,24167.9,23912.4,24011.39,715.032708938,12702.0,24047.505603
BTC/USD,2023-02-23,24014.59,24066.5,23844.24,23955.13,633.842425028,14041.0,23966.597509
BTC/USD,2023-02-23,23952.19,24003.94,23753.58,23762.62,625.977931,14228.0,23900.424854
BTC/USD,2023-02-23,23763.17,23979.25,23747.62,23837.22,335.488089876,9449.0,23860.739331
BTC/USD,2023-02-23,23841.48,23906.64,23730.0,23859.09,278.008615228,8317.0,23822.966546
BTC/USD,2023-02-23,23859.51,24050.72,23840.51,23965.9,233.967650548,6533.0,23969.874735
BTC/USD,2023-02-23,23965.9,24063.95,23899.0,23941.12,221.975699944,6681.0,23993.304804
BTC/USD,2023-02-23,23942.12,24007.62,23866.37,23877.78,112.170194,3573.0,23944.851486
BTC/USD,2023-02-23,23878.5,23906.46,23765.0,23870.72,170.754765977,4652.0,23826.430042
BTC/USD,2023-02-23,23867.51,23957.99,23827.5,23941.32,194.930523528,5755.0,23897.259508
BTC/USD,2023-02-24,23942.53,24015.58,23888.51,23956.36,247.017069,6895.0,23947.827422
BTC/USD,2023-02-24,23956.53,24130.0,23956.53,23998.3,378.63715,8186.0,24052.60781
BTC/USD,2023-02-24,23999.91,24028.73,23907.54,23939.26,223.898037,5858.0,23969.228977
BTC/USD,2023-02-24,23944.41,23997.27,23921.0,23954.7,93.036985,2894.0,23963.293637
BTC/USD,2023-02-24,23953.24,23989.95,23926.23,23947.49,90.146461167,2251.0,23966.839822
BTC/USD,2023-02-24,23947.38,23955.22,23859.64,23901.69,170.603116289,3743.0,23898.658357
BTC/USD,2023-02-24,23904.38,23917.13,23785.01,23901.65,249.76342294,4477.0,23841.560699
BTC/USD,2023-02-24,23898.11,23908.54,23771.16,23834.51,153.112590456,4191.0,23836.21049
BTC/USD,2023-02-24,23832.16,23968.31,23758.7,23901.94,272.186794481,6334.0,23864.657894
BTC/USD,2023-02-24,23904.19,23936.93,23807.5,23826.57,114.400771569,3189.0,23870.002041
BTC/USD,2023-02-24,23830.06,23882.38,23775.77,23857.22,107.401156113,2734.0,23829.274816
BTC/USD,2023-02-24,23857.07,23894.85,23833.78,23881.6,96.504547882,2146.0,23869.291041
BTC/USD,2023-02-24,23881.65,24012.8,23858.98,23886.79,214.490750313,4783.0,23921.795333
BTC/USD,2023-02-24,23883.86,23988.81,23685.0,23784.73,450.022722043,10196.0,23824.134824
BTC/USD,2023-02-24,23780.8,23862.46,23695.0,23806.73,440.368905598,11257.0,23784.368307
BTC/USD,2023-02-24,23806.73,23843.41,23329.62,23350.72,1118.807860816,24082.0,23543.017886
BTC/USD,2023-02-24,23347.58,23351.37,22928.45,23196.53,1073.638350461,25370.0,23158.301043
BTC/USD,2023-02-24,23195.48,23206.67,23017.64,23067.46,393.21579134,10103.0,23125.063013
BTC/USD,2023-02-24,23061.35,23154.81,23013.94,23092.09,341.96483217,7882.0,23091.526874
BTC/USD,2023-02-24,23095.33,23193.7,22852.34,23190.33,728.094426597,14192.0,23043.407138
BTC/USD,2023-02-24,23186.1,23327.61,23146.0,23214.68,758.952528972,13354.0,23230.669104
BTC/USD,2023-02-24,23214.9,23233.26,23056.73,23093.22,274.087760522,5477.0,23153.165527
BTC/USD,2023-02-24,23093.21,23164.46,22971.89,23113.47,194.361013,4925.0,23071.583782
BTC/USD,2023-02-24,23111.83,23209.88,23037.7,23189.33,198.449946283,4240.0,23144.402355
BTC/USD,2023-02-25,23189.27,23203.39,23113.38,23167.22,139.954534,3023.0,23161.962018
BTC/USD,2023-02-25,23167.63,23209.88,23135.41,23182.79,78.51837325,2536.0,23177.789336
BTC/USD,2023-02-25,23183.38,23223.77,23051.09,23085.57,147.283459,3958.0,23113.48702
BTC/USD,2023-02-25,23087.49,23139.13,23049.56,23076.71,118.14312,2864.0,23090.225686
BTC/USD,2023-02-25,23075.6,23128.02,23053.06,23128.02,99.605502737,3044.0,23096.433578
BTC/USD,2023-02-25,23123.69,23127.88,23026.24,23046.99,135.076003,3466.0,23068.666297
BTC/USD,2023-02-25,23042.99,23105.64,23042.99,23093.68,80.1763975,1651.0,23080.876164
BTC/USD,2023-02-25,23093.04,23128.38,23073.06,23124.94,79.90951925,1806.0,23098.82559
BTC/USD,2023-02-25,23126.4,23160.0,23100.0,23104.54,97.29826825,1989.0,23132.140346
BTC/USD,2023-02-25,23104.54,23127.17,23003.79,23055.82,189.457212822,2878.0,23063.656037
BTC/USD,2023-02-25,23060.08,23067.3,22926.4,22930.78,183.6993325,3399.0,22981.406512
BTC/USD,2023-02-25,22933.7,23016.46,22916.62,22986.58,191.027479602,3450.0,22969.835462
BTC/USD,2023-02-25,22982.91,23019.82,22857.39,23018.74,243.609635767,5235.0,22945.935393
BTC/USD,2023-02-25,23018.71,23081.46,22991.52,22998.88,186.091245049,3146.0,23028.651097
BTC/USD,2023-02-25,23007.17,23047.25,22977.86,23006.5,104.779100961,2112.0,23005.753835
BTC/USD,2023-02-25,23000.16,23034.33,22973.28,23011.76,95.677877,1634.0,23002.652069
BTC/USD,2023-02-25,23011.7,23084.75,22997.16,23015.0,140.752238425,3130.0,23045.299532
BTC/USD,2023-02-25,23015.02,23058.35,23010.19,23042.3,140.375710762,2242.0,23028.183813
BTC/USD,2023-02-25,23044.37,23050.54,22972.94,22984.8,102.259276,2399.0,23005.743713
BTC/USD,2023-02-25,22983.53,23019.0649513,22917.91,22989.42,180.774204629,3701.0,22964.860722
BTC/USD,2023-02-25,22983.96,23005.6534021,22766.0,22926.31,355.37585292,6601.0,22898.166839
BTC/USD,2023-02-25,22926.31,22963.73,22853.54,22944.5,286.644413652,4800.0,22925.086096
BTC/USD,2023-02-25,22941.07,23172.71,22909.74,23127.99,215.489131,4425.0,23045.471527
BTC/USD,2023-02-25,23124.99,23191.2,23104.04,23162.84,189.546169717,4227.0,23151.236436
BTC/USD,2023-02-26,23164.46,23168.87,23083.85,23106.39,124.648449,2646.0,23120.740301
BTC/USD,2023-02-26,23105.64,23129.05,23072.0,23115.7,83.293505,2053.0,23104.949255
BTC/USD,2023-02-26,23115.0,23256.07,23067.32,23242.09,190.72781125,3403.0,23154.263367
BTC/USD,2023-02-26,23243.75,23259.27,23191.52,23219.79,217.24493814,3461.0,23231.395161
BTC/USD,2023-02-26,23219.79,23235.33,23161.42,23199.42,111.137527023,2319.0,23203.448968
BTC/USD,2023-02-26,23198.93,23212.97,23132.2,23134.99,80.17293043,1694.0,23181.24698
BTC/USD,2023-02-26,23132.03,23178.99,23098.93,23173.49,91.643899,2033.0,23144.933501
BTC/USD,2023-02-26,23173.62,23212.62,23148.48,23162.2,108.014756,2309.0,23178.822247
BTC/USD,2023-02-26,23161.14,23182.71,23123.05,23158.48,54.81058725,1261.0,23150.760582
BTC/USD,2023-02-26,23159.05,23290.0,23159.05,23275.45,198.334654,3824.0,23239.987383
BTC/USD,2023-02-26,23281.0,23282.22,23210.88,23236.95,68.288820447,1702.0,23241.444073
BTC/USD,2023-02-26,23241.11,23259.5,23207.19,23256.85,73.488925,1428.0,23233.039466
BTC/USD,2023-02-26,23252.86,23279.99,23132.11,23167.41,105.11103675,2427.0,23205.846675
BTC/USD,2023-02-26,23163.12,23231.3807389,23141.06,23214.71,64.918655415,1396.0,23183.851137
BTC/USD,2023-02-26,23213.4,23323.98,23185.84,23201.06,310.6485985,5276.0,23246.850579
BTC/USD,2023-02-26,23200.62,23252.33,23180.81,23252.29,153.27296675,3093.0,23215.682616
BTC/USD,2023-02-26,23252.73,23267.18506985,23173.94,23193.73,101.410344,2410.0,23217.285478
BTC/USD,2023-02-26,23195.67,23249.91,23144.8,23245.3,91.957439,2121.0,23193.228716
BTC/USD,2023-02-26,23242.99,23542.42,23228.93,23496.72,474.01100878,9125.0,23391.475987
BTC/USD,2023-02-26,23498.53,23545.59,23370.79,23506.51,292.728133063,5813.0,23472.407602
BTC/USD,2023-02-26,23503.67,23684.52,23470.0,23645.29,383.85056644,6849.0,23596.619894
BTC/USD,2023-02-26,23646.94,23656.27,23549.8,23561.76,195.208465049,3667.0,23601.943169
BTC/USD,2023-02-26,23563.5,23592.97,23328.15,23480.23,300.110116679,5594.0,23452.921037
BTC/USD,2023-02-26,23478.69,23631.68,23461.86,23556.99,365.082153,7489.0,23540.903113
BTC/USD,2023-02-27,23556.98,23574.22,23455.13,23494.21,192.904230612,3829.0,23508.564863
